referrer,views_total,views_unique
github.com,441,213
Google,247,92
email-nuker.herokuapp.com,49,24
big-meter.com,7,1
pythonawesome.com,3,1
errorsfind.com,2,2
DuckDuckGo,2,2
t.co,2,2
l.facebook.com,1,1
replit.com,1,1
