url_path,views_total,views_unique
/bagarrattaa/email-nuker,571,333
/bagarrattaa/email-nuker/blob/main/bomber.py,60,38
/bagarrattaa/email-nuker/blob/main/emailbomber.py,46,31
/bagarrattaa/email-nuker/releases/tag/v1.0.0,16,5
/bagarrattaa/email-nuker/tree/main/.github/workflows,12,10
/bagarrattaa/email-nuker/issues,12,8
/bagarrattaa/email-nuker/blob/main/README.md,11,10
/bagarrattaa/email-nuker/find/main,7,5
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,6,6
/bagarrattaa/email-nuker/issues/11,4,4
