referrer,views_total,views_unique
github.com,553,230
Google,381,158
email-nuker.herokuapp.com,145,59
cracked.io,17,2
errorsfind.com,5,3
DuckDuckGo,5,3
yandex.ru,2,2
Bing,2,1
search-dra.dt.dbankcloud.com,1,1
opensourceagenda.com,1,1
