time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-04 00:00:00+00:00,5,5,48,24
2022-07-05 00:00:00+00:00,12,10,41,25
2022-07-06 00:00:00+00:00,18,17,55,26
2022-07-07 00:00:00+00:00,8,8,71,34
2022-07-08 00:00:00+00:00,16,15,78,33
2022-07-09 00:00:00+00:00,13,11,32,23
2022-07-10 00:00:00+00:00,26,16,87,38
2022-07-11 00:00:00+00:00,13,13,104,44
2022-07-12 00:00:00+00:00,16,15,109,42
2022-07-13 00:00:00+00:00,14,14,152,44
2022-07-14 00:00:00+00:00,14,13,95,44
2022-07-15 00:00:00+00:00,17,15,238,94
2022-07-16 00:00:00+00:00,22,20,166,56
2022-07-17 00:00:00+00:00,18,15,94,43
