url_path,views_total,views_unique
/bagarrattaa/email-nuker,458,301
/bagarrattaa/email-nuker/blob/main/bomber.py,43,32
/bagarrattaa/email-nuker/blob/main/emailbomber.py,37,31
/bagarrattaa/email-nuker/tree/main/.github/workflows,20,15
/bagarrattaa/email-nuker/issues,19,9
/bagarrattaa/email-nuker/blob/main/README.md,13,11
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,11,9
/bagarrattaa/email-nuker/find/main,11,8
/bagarrattaa/email-nuker/issues/11,10,5
/bagarrattaa/email-nuker/releases/tag/v1.0.0,7,6
