referrer,views_total,views_unique
github.com,366,189
Google,220,92
email-nuker.herokuapp.com,27,12
DuckDuckGo,7,3
big-meter.com,7,1
pythonawesome.com,3,1
errorsfind.com,2,2
t.co,2,2
github-com.translate.goog,1,1
l.facebook.com,1,1
