url_path,views_total,views_unique
/bagarrattaa/email-nuker,459,304
/bagarrattaa/email-nuker/blob/main/bomber.py,48,33
/bagarrattaa/email-nuker/blob/main/emailbomber.py,39,31
/bagarrattaa/email-nuker/tree/main/.github/workflows,18,13
/bagarrattaa/email-nuker/issues,17,8
/bagarrattaa/email-nuker/blob/main/README.md,14,12
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,11,9
/bagarrattaa/email-nuker/find/main,11,8
/bagarrattaa/email-nuker/issues/11,9,4
/bagarrattaa/email-nuker/releases/tag/v1.0.0,5,4
