url_path,views_total,views_unique
/bagarrattaa/email-nuker,460,291
/bagarrattaa/email-nuker/blob/main/bomber.py,46,29
/bagarrattaa/email-nuker/blob/main/emailbomber.py,35,27
/bagarrattaa/email-nuker/tree/main/.github/workflows,15,10
/bagarrattaa/email-nuker/releases/tag/v1.0.0,15,4
/bagarrattaa/email-nuker/blob/main/README.md,14,12
/bagarrattaa/email-nuker/issues,12,6
/bagarrattaa/email-nuker/find/main,10,8
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,9,7
/bagarrattaa/email-nuker/issues/11,6,3
