referrer,views_total,views_unique
github.com,439,207
Google,289,132
email-nuker.herokuapp.com,142,57
cracked.io,17,2
opensourceagenda.com,9,2
errorsfind.com,5,4
DuckDuckGo,2,2
yandex.ru,2,2
Bing,2,1
telegra.ph,1,1
