url_path,views_total,views_unique
/bagarrattaa/email-nuker,1059,541
/bagarrattaa/email-nuker/blob/main/bomber.py,113,76
/bagarrattaa/email-nuker/blob/main/emailbomber.py,80,60
/bagarrattaa/email-nuker/releases/tag/v1.0.0,30,17
/bagarrattaa/email-nuker/tree/main/.github/workflows,25,15
/bagarrattaa/email-nuker/blob/main/README.md,18,15
/bagarrattaa/email-nuker/issues,18,12
/bagarrattaa/email-nuker/find/main,15,6
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,13,13
/bagarrattaa/email-nuker/search,12,8
