referrer,views_total,views_unique
github.com,332,174
Google,241,114
email-nuker.herokuapp.com,27,13
opensourceagenda.com,8,1
DuckDuckGo,7,3
errorsfind.com,3,3
Bing,3,2
telegra.ph,1,1
github.sre.pub,1,1
yandex.ru,1,1
