referrer,views_total,views_unique
github.com,433,207
Google,255,93
email-nuker.herokuapp.com,31,17
Bing,9,6
errorsfind.com,5,5
opensourceagenda.com,5,3
l.facebook.com,2,1
github-com.translate.goog,1,1
DuckDuckGo,1,1
yandex.ru,1,1
