referrer,views_total,views_unique
github.com,362,176
Google,231,111
email-nuker.herokuapp.com,36,16
opensourceagenda.com,8,1
DuckDuckGo,7,3
errorsfind.com,3,3
Bing,2,1
telegra.ph,1,1
github.sre.pub,1,1
yandex.ru,1,1
