url_path,views_total,views_unique
/bagarrattaa/email-nuker,888,485
/bagarrattaa/email-nuker/blob/main/bomber.py,98,66
/bagarrattaa/email-nuker/blob/main/emailbomber.py,72,51
/bagarrattaa/email-nuker/releases/tag/v1.0.0,27,13
/bagarrattaa/email-nuker/tree/main/.github/workflows,22,14
/bagarrattaa/email-nuker/blob/main/README.md,18,15
/bagarrattaa/email-nuker/issues,18,12
/bagarrattaa/email-nuker/find/main,17,7
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,12,12
/bagarrattaa/email-nuker/search,9,6
