referrer,views_total,views_unique
github.com,434,211
Google,266,96
email-nuker.herokuapp.com,26,15
Bing,9,6
errorsfind.com,5,5
opensourceagenda.com,5,3
l.facebook.com,2,1
github-com.translate.goog,1,1
DuckDuckGo,1,1
yandex.ru,1,1
