referrer,views_total,views_unique
github.com,440,204
Google,236,94
email-nuker.herokuapp.com,29,16
errorsfind.com,6,6
Bing,6,4
opensourceagenda.com,5,3
l.facebook.com,2,1
github-com.translate.goog,1,1
DuckDuckGo,1,1
yandex.ru,1,1
