url_path,views_total,views_unique
/bagarrattaa/email-nuker,507,324
/bagarrattaa/email-nuker/blob/main/bomber.py,51,35
/bagarrattaa/email-nuker/blob/main/emailbomber.py,41,34
/bagarrattaa/email-nuker/issues,38,16
/bagarrattaa/email-nuker/issues/11,28,11
/bagarrattaa/email-nuker/tree/main/.github/workflows,19,14
/bagarrattaa/email-nuker/blob/main/README.md,14,11
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,12,9
/bagarrattaa/email-nuker/find/main,12,9
/bagarrattaa/email-nuker/releases/tag/v1.0.0,8,7
