url_path,views_total,views_unique
/bagarrattaa/email-nuker,628,353
/bagarrattaa/email-nuker/blob/main/bomber.py,65,41
/bagarrattaa/email-nuker/blob/main/emailbomber.py,47,33
/bagarrattaa/email-nuker/releases/tag/v1.0.0,18,7
/bagarrattaa/email-nuker/blob/main/README.md,15,13
/bagarrattaa/email-nuker/tree/main/.github/workflows,14,11
/bagarrattaa/email-nuker/issues,10,7
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,8,8
/bagarrattaa/email-nuker/find/main,6,4
/bagarrattaa/email-nuker/commits,6,1
