referrer,views_total,views_unique
github.com,375,182
Google,234,115
email-nuker.herokuapp.com,50,20
cracked.io,17,2
opensourceagenda.com,8,1
DuckDuckGo,7,3
errorsfind.com,3,3
yandex.ru,2,2
Bing,2,1
github.sre.pub,1,1
