url_path,views_total,views_unique
/bagarrattaa/email-nuker,948,499
/bagarrattaa/email-nuker/blob/main/bomber.py,109,70
/bagarrattaa/email-nuker/blob/main/emailbomber.py,74,54
/bagarrattaa/email-nuker/releases/tag/v1.0.0,27,14
/bagarrattaa/email-nuker/tree/main/.github/workflows,26,16
/bagarrattaa/email-nuker/blob/main/README.md,19,16
/bagarrattaa/email-nuker/issues,19,13
/bagarrattaa/email-nuker/find/main,15,6
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,14,14
/bagarrattaa/email-nuker/search,11,7
