url_path,views_total,views_unique
/bagarrattaa/email-nuker,1016,528
/bagarrattaa/email-nuker/blob/main/bomber.py,114,74
/bagarrattaa/email-nuker/blob/main/emailbomber.py,81,58
/bagarrattaa/email-nuker/releases/tag/v1.0.0,28,15
/bagarrattaa/email-nuker/tree/main/.github/workflows,25,15
/bagarrattaa/email-nuker/blob/main/README.md,20,17
/bagarrattaa/email-nuker/issues,18,12
/bagarrattaa/email-nuker/find/main,15,6
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,14,14
/bagarrattaa/email-nuker/search,12,8
