referrer,views_total,views_unique
github.com,527,219
Google,358,153
email-nuker.herokuapp.com,145,59
cracked.io,17,2
errorsfind.com,6,4
DuckDuckGo,3,2
yandex.ru,2,2
Bing,2,1
search-dra.dt.dbankcloud.com,1,1
opensourceagenda.com,1,1
