url_path,views_total,views_unique
/bagarrattaa/email-nuker,470,299
/bagarrattaa/email-nuker/blob/main/bomber.py,50,33
/bagarrattaa/email-nuker/blob/main/emailbomber.py,39,31
/bagarrattaa/email-nuker/releases/tag/v1.0.0,17,6
/bagarrattaa/email-nuker/tree/main/.github/workflows,16,11
/bagarrattaa/email-nuker/blob/main/README.md,14,12
/bagarrattaa/email-nuker/issues,14,6
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,10,8
/bagarrattaa/email-nuker/find/main,9,7
/bagarrattaa/email-nuker/issues/11,7,3
