referrer,views_total,views_unique
github.com,457,232
Google,289,99
email-nuker.herokuapp.com,63,31
DuckDuckGo,6,2
errorsfind.com,5,4
pythonawesome.com,3,1
t.co,2,2
github-com.translate.goog,1,1
itexpertz.net,1,1
replit.com,1,1
