referrer,views_total,views_unique
github.com,437,217
Google,249,91
email-nuker.herokuapp.com,54,29
big-meter.com,7,1
pythonawesome.com,3,1
errorsfind.com,2,2
t.co,2,2
Bing,1,1
DuckDuckGo,1,1
l.facebook.com,1,1
