referrer,views_total,views_unique
github.com,449,222
Google,255,84
email-nuker.herokuapp.com,59,29
big-meter.com,7,1
DuckDuckGo,6,2
errorsfind.com,4,3
pythonawesome.com,3,1
t.co,2,2
replit.com,1,1
l.facebook.com,1,1
