referrer,views_total,views_unique
github.com,397,200
Google,237,91
email-nuker.herokuapp.com,49,24
DuckDuckGo,7,3
big-meter.com,7,1
pythonawesome.com,3,1
t.co,2,2
replit.com,1,1
github-com.translate.goog,1,1
errorsfind.com,1,1
