referrer,views_total,views_unique
github.com,487,214
Google,331,145
email-nuker.herokuapp.com,144,59
cracked.io,17,2
opensourceagenda.com,9,2
errorsfind.com,6,4
DuckDuckGo,4,3
yandex.ru,2,2
Bing,2,1
telegra.ph,1,1
