referrer,views_total,views_unique
github.com,463,213
Google,220,97
email-nuker.herokuapp.com,25,14
errorsfind.com,6,6
Bing,6,4
opensourceagenda.com,5,3
l.facebook.com,2,1
DuckDuckGo,1,1
yandex.ru,1,1
