url_path,views_total,views_unique
/bagarrattaa/email-nuker,615,364
/bagarrattaa/email-nuker/blob/main/bomber.py,82,49
/bagarrattaa/email-nuker/blob/main/emailbomber.py,58,42
/bagarrattaa/email-nuker/issues,47,21
/bagarrattaa/email-nuker/issues/11,30,12
/bagarrattaa/email-nuker/tree/main/.github/workflows,20,15
/bagarrattaa/email-nuker/find/main,19,15
/bagarrattaa/email-nuker/releases/tag/v1.0.0,15,12
/bagarrattaa/email-nuker/blob/main/README.md,13,11
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,12,9
