referrer,views_total,views_unique
github.com,571,230
Google,375,158
email-nuker.herokuapp.com,148,59
cracked.io,18,3
errorsfind.com,5,3
DuckDuckGo,5,3
yandex.ru,2,2
Bing,2,1
search-dra.dt.dbankcloud.com,1,1
opensourceagenda.com,1,1
