referrer,views_total,views_unique
github.com,433,223
Google,261,87
email-nuker.herokuapp.com,63,32
big-meter.com,7,1
DuckDuckGo,6,2
pythonawesome.com,3,1
errorsfind.com,2,2
t.co,2,2
l.facebook.com,1,1
replit.com,1,1
