referrer,views_total,views_unique
github.com,462,232
Google,308,102
email-nuker.herokuapp.com,65,32
DuckDuckGo,6,2
errorsfind.com,5,4
Bing,3,2
pythonawesome.com,3,1
itexpertz.net,1,1
replit.com,1,1
