referrer,views_total,views_unique
github.com,394,193
Google,253,122
email-nuker.herokuapp.com,51,21
cracked.io,17,2
opensourceagenda.com,9,2
DuckDuckGo,6,2
errorsfind.com,5,4
yandex.ru,2,2
Bing,2,1
github.sre.pub,1,1
