referrer,views_total,views_unique
github.com,447,226
Google,335,102
email-nuker.herokuapp.com,63,32
DuckDuckGo,6,2
errorsfind.com,4,3
Bing,3,2
itexpertz.net,1,1
replit.com,1,1
github-com.translate.goog,1,1
