url_path,views_total,views_unique
/bagarrattaa/email-nuker,511,316
/bagarrattaa/email-nuker/blob/main/bomber.py,47,29
/bagarrattaa/email-nuker/blob/main/emailbomber.py,36,27
/bagarrattaa/email-nuker/releases/tag/v1.0.0,15,4
/bagarrattaa/email-nuker/tree/main/.github/workflows,14,9
/bagarrattaa/email-nuker/blob/main/README.md,13,11
/bagarrattaa/email-nuker/issues,11,7
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,9,7
/bagarrattaa/email-nuker/find/main,9,7
/bagarrattaa/email-nuker/issues/11,4,4
