url_path,views_total,views_unique
/bagarrattaa/email-nuker,672,383
/bagarrattaa/email-nuker/blob/main/bomber.py,90,55
/bagarrattaa/email-nuker/blob/main/emailbomber.py,70,51
/bagarrattaa/email-nuker/issues,41,20
/bagarrattaa/email-nuker/tree/main/.github/workflows,26,18
/bagarrattaa/email-nuker/issues/11,23,9
/bagarrattaa/email-nuker/releases/tag/v1.0.0,20,16
/bagarrattaa/email-nuker/find/main,18,14
/bagarrattaa/email-nuker/blob/main/README.md,14,12
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,12,9
