referrer,views_total,views_unique
github.com,309,169
Google,220,102
email-nuker.herokuapp.com,19,13
opensourceagenda.com,8,1
DuckDuckGo,7,3
errorsfind.com,3,3
Bing,3,2
telegra.ph,1,1
github.sre.pub,1,1
yandex.ru,1,1
